map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-e3-slowcontrol.encounter,attack-only,1,Victory,4,0,4,32,6,175,0,25,-1,,0,1,0,2571626979
gym-e3-slowcontrol.encounter,attack-only,2,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,3,Victory,5,0,5,40,9,115,0,60,-1,,0,3,0,2496493185
gym-e3-slowcontrol.encounter,attack-only,4,Victory,6,0,6,48,7,65,0,83,-1,,0,5,0,2151935560
gym-e3-slowcontrol.encounter,attack-only,5,Victory,4,0,4,32,4,154,0,50,-1,,0,1,0,2673378274
gym-e3-slowcontrol.encounter,attack-only,6,Victory,4,0,4,32,6,175,0,25,-1,,0,1,0,3833673221
gym-e3-slowcontrol.encounter,attack-only,7,Victory,5,0,5,40,9,95,0,80,-1,,0,3,0,514631563
gym-e3-slowcontrol.encounter,attack-only,8,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,9,Victory,5,0,5,40,14,135,0,40,-1,,0,2,0,1462215790
gym-e3-slowcontrol.encounter,attack-only,10,Victory,5,0,5,40,5,75,0,80,-1,,0,3,0,3636152079
gym-e3-slowcontrol.encounter,attack-only,11,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,12,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,13,Victory,5,0,5,40,6,95,0,60,-1,,0,2,0,1723681376
gym-e3-slowcontrol.encounter,attack-only,14,Victory,5,0,5,40,14,55,0,100,-1,,0,4,0,3678167350
gym-e3-slowcontrol.encounter,attack-only,15,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,16,Victory,5,0,5,40,9,95,0,80,-1,,0,3,0,514631563
gym-e3-slowcontrol.encounter,attack-only,17,Victory,4,0,4,32,4,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,18,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,19,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,20,Victory,4,0,4,32,4,155,0,25,-1,,0,1,0,3064531683
gym-e3-slowcontrol.encounter,attack-only,21,Victory,5,0,5,40,11,94,0,80,-1,,0,3,0,1398322900
gym-e3-slowcontrol.encounter,attack-only,22,Victory,5,0,5,40,9,95,0,80,-1,,0,3,0,1093081562
gym-e3-slowcontrol.encounter,attack-only,23,Victory,5,0,5,40,7,95,0,60,-1,,0,2,0,1380582164
gym-e3-slowcontrol.encounter,attack-only,24,Victory,5,0,5,40,11,94,0,80,-1,,0,3,0,1398322900
gym-e3-slowcontrol.encounter,attack-only,25,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,26,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,27,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,28,Victory,5,0,5,40,13,75,0,80,-1,,0,3,0,3396308193
gym-e3-slowcontrol.encounter,attack-only,29,Victory,4,0,4,32,6,175,0,25,-1,,0,1,0,1552315861
gym-e3-slowcontrol.encounter,attack-only,30,Victory,4,0,4,32,4,175,0,25,-1,,0,1,0,931259940
gym-e3-slowcontrol.encounter,attack-only,31,Victory,4,0,4,32,2,155,0,25,-1,,0,1,0,3064531683
gym-e3-slowcontrol.encounter,attack-only,32,Victory,6,0,6,48,9,85,0,83,-1,,0,4,0,2612305462
gym-e3-slowcontrol.encounter,attack-only,33,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,34,Victory,5,0,5,40,7,55,0,80,-1,,0,3,0,3389086111
gym-e3-slowcontrol.encounter,attack-only,35,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,36,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,37,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,38,Victory,5,0,5,40,4,65,0,80,-1,,0,3,0,530198507
gym-e3-slowcontrol.encounter,attack-only,39,Victory,5,0,5,40,4,115,0,60,-1,,0,2,0,2670045385
gym-e3-slowcontrol.encounter,attack-only,40,Victory,4,0,4,32,4,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,41,Victory,5,0,5,40,12,134,0,60,-1,,0,2,0,727916525
gym-e3-slowcontrol.encounter,attack-only,42,Victory,4,0,4,32,6,135,0,50,-1,,0,1,0,3600111551
gym-e3-slowcontrol.encounter,attack-only,43,Victory,4,0,4,32,4,175,0,25,-1,,0,1,0,2571626979
