map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-opening,corridor-hold,1,Defeat,15,0,14,376,92,693,3,31,2,1:2|3:8,0,23,1,360843196
gym-opening,corridor-hold,2,Defeat,12,0,12,248,65,0,5,70,13,3:13,0,32,1,2916953454
gym-opening,corridor-hold,3,Defeat,15,0,14,384,100,683,2,37,8,3:8|4:8,0,15,0,1186972667
gym-opening,corridor-hold,4,Defeat,15,0,14,376,90,495,2,36,-1,,0,14,2,2094865699
gym-opening,corridor-hold,5,Defeat,15,0,14,448,163,1005,2,10,2,2:2,0,5,2,4282135900
gym-opening,corridor-hold,6,Defeat,15,0,14,376,92,712,1,34,2,1:2|3:8,0,16,1,1927559035
gym-opening,corridor-hold,7,Defeat,15,0,14,280,58,230,3,62,2,3:2|2:8,0,27,1,3885745361
gym-opening,corridor-hold,8,Defeat,15,0,14,328,74,585,3,36,-1,,0,15,2,2056509236
gym-opening,corridor-hold,9,Defeat,15,0,14,272,45,250,4,88,-1,,0,31,2,605091359
gym-opening,corridor-hold,10,Defeat,15,0,14,368,96,343,3,52,7,1:7,0,17,1,2765071053
gym-opening,corridor-hold,11,Defeat,15,0,14,288,62,210,3,63,-1,,0,22,2,3110156832
gym-opening,corridor-hold,12,Defeat,15,0,14,232,39,110,3,75,2,3:2,0,33,2,4152372200
gym-opening,corridor-hold,13,Defeat,15,0,14,248,48,250,4,67,2,3:2,0,26,2,2285545220
gym-opening,corridor-hold,14,Defeat,15,0,14,392,98,694,3,48,7,2:7,0,22,2,780129196
gym-opening,corridor-hold,15,Defeat,15,0,14,448,92,920,1,25,8,3:8|4:7|1:7,0,18,1,1437876006
gym-opening,corridor-hold,16,Defeat,15,0,14,272,88,253,5,58,2,2:2,0,28,2,143009807
gym-opening,corridor-hold,17,Defeat,15,0,14,320,56,225,5,60,7,2:7,0,34,1,502592243
gym-opening,corridor-hold,18,Defeat,12,0,12,264,68,0,4,75,-1,,0,29,2,2949170808
gym-opening,corridor-hold,19,Defeat,15,0,14,296,69,114,6,64,2,3:2,0,54,0,491804467
gym-opening,corridor-hold,20,Defeat,15,0,14,360,80,697,2,46,2,3:2|2:2|1:2,0,17,2,606288298
gym-opening,corridor-hold,21,Defeat,15,0,14,368,97,814,3,45,2,2:2,0,27,2,522917039
gym-opening,corridor-hold,22,Defeat,15,0,14,312,79,625,2,38,8,2:8,0,16,1,2136951979
gym-opening,corridor-hold,23,Defeat,15,0,14,360,74,528,3,35,2,3:2,0,31,2,2894762330
gym-opening,corridor-hold,24,Defeat,15,0,14,272,47,250,2,58,-1,,0,20,2,3814240594
gym-opening,corridor-hold,25,Defeat,15,0,14,376,84,813,2,27,2,1:2|2:2,0,17,2,1992481627
gym-opening,corridor-hold,26,Defeat,15,0,14,312,67,60,3,69,12,3:12,0,36,1,4133143982
gym-opening,corridor-hold,27,Defeat,12,0,12,208,35,0,4,88,-1,,0,18,2,1142320777
gym-opening,corridor-hold,28,Defeat,15,0,14,296,65,630,3,43,2,2:2,0,21,1,1864765384
gym-opening,corridor-hold,29,Defeat,15,0,14,376,89,715,2,57,2,1:2|2:2,0,16,2,2015588117
gym-opening,corridor-hold,30,Defeat,13,0,13,240,44,0,3,83,2,3:2,0,30,1,1770385038
gym-opening,corridor-hold,31,Defeat,15,0,14,312,56,390,3,58,8,3:8|2:7,0,25,0,3482317091
gym-opening,corridor-hold,32,Defeat,15,0,14,248,49,135,4,64,2,2:2,0,27,2,3959650161
gym-opening,corridor-hold,33,Defeat,15,0,14,384,98,479,2,45,8,3:8,0,18,1,3320799866
gym-opening,corridor-hold,34,Defeat,15,0,14,360,82,552,2,42,2,3:2|2:2,0,19,2,2637503491
gym-opening,corridor-hold,35,Defeat,15,0,14,448,128,963,1,12,8,3:8|1:7|2:7,0,7,1,1183911452
gym-opening,corridor-hold,36,Defeat,15,0,14,352,78,457,4,52,12,4:12|3:7,0,32,1,1277921208
gym-opening,corridor-hold,37,Defeat,15,0,14,280,52,300,3,60,-1,,0,24,2,1997779149
gym-opening,corridor-hold,38,Defeat,15,0,14,264,65,210,2,78,-1,,0,25,2,2263798891
gym-opening,corridor-hold,39,Defeat,15,0,14,376,81,923,2,21,2,3:2,0,19,2,1476471768
gym-opening,corridor-hold,40,Defeat,15,0,14,248,44,100,4,70,7,3:7,0,33,2,4142413942
gym-opening,corridor-hold,41,Defeat,10,0,10,184,43,0,6,104,-1,,0,27,2,4050427721
gym-opening,corridor-hold,42,Defeat,15,0,14,360,85,473,3,55,8,2:8,0,31,1,2884899270
gym-opening,corridor-hold,43,Defeat,15,0,14,320,71,342,4,55,2,1:2,0,35,2,3515594136
gym-opening,corridor-hold,44,Defeat,15,0,14,352,54,618,2,38,12,3:12|1:2,0,31,0,1132788594
gym-opening,corridor-hold,45,Defeat,15,0,14,384,101,765,3,27,-1,,0,16,2,1347092364
gym-opening,corridor-hold,46,Defeat,15,0,14,344,57,230,3,74,13,4:13,0,25,1,2706386375
gym-opening,corridor-hold,47,Defeat,15,0,14,304,70,450,5,52,2,3:2,0,39,2,101107542
gym-opening,corridor-hold,48,Defeat,15,0,14,304,61,156,3,65,2,3:2,0,37,1,3149509695
gym-opening,corridor-hold,49,Defeat,15,0,14,384,92,697,2,25,2,1:2|2:2,0,16,1,1864098607
gym-opening,corridor-hold,50,Defeat,15,0,14,320,73,345,4,42,2,3:2,0,33,2,2104764061
gym-opening,corridor-hold,51,Defeat,15,0,14,312,64,403,4,46,13,3:13,0,30,0,718125474
gym-opening,corridor-hold,52,Defeat,15,0,14,328,70,473,2,29,2,1:2|2:2,0,20,2,1902883052
gym-opening,corridor-hold,53,Defeat,15,0,14,304,54,503,3,57,7,2:7|3:7,0,32,1,4030913320
gym-opening,corridor-hold,54,Defeat,15,0,14,312,62,540,2,43,-1,,0,11,2,829889837
gym-opening,corridor-hold,55,Defeat,15,0,14,312,90,655,3,35,-1,,0,19,1,3706855641
gym-opening,corridor-hold,56,Defeat,15,0,14,368,113,755,2,23,7,2:7,0,13,2,948446149
gym-opening,corridor-hold,57,Defeat,15,0,14,384,77,390,4,39,2,1:2|3:7,0,24,2,204768100
gym-opening,corridor-hold,58,Defeat,14,0,14,248,51,0,4,112,-1,,0,45,2,284206761
gym-opening,corridor-hold,59,Defeat,15,0,14,256,56,25,3,59,8,3:8,0,17,1,2449858396
gym-opening,corridor-hold,60,Defeat,15,0,14,240,59,405,3,60,-1,,0,19,1,4006863382
gym-opening,corridor-hold,61,Defeat,10,0,10,208,33,0,4,84,-1,,0,22,2,3608822106
gym-opening,corridor-hold,62,Defeat,14,0,14,280,66,0,4,71,-1,,0,34,2,2870647742
gym-opening,corridor-hold,63,Defeat,15,0,14,280,58,220,4,57,-1,,0,29,2,1780404240
gym-opening,corridor-hold,64,Defeat,15,0,14,376,87,569,4,59,2,1:2,0,32,2,1817984532
