map,strategy,seed,outcome,turns,hit_round_cap,player_turns,ap_granted,ap_unused,final_player_hp,enemies_remaining,mean_exposure_x100,first_crossing_x,unit_crossings,contact_round1,contact_turns,never_in_contact,state_hash
gym-crucible-chasm/T01,control-hold,1,Victory,7,0,6,192,48,896,2,62,-1,,0,5,0,47480325
gym-crucible-chasm/T01,control-hold,2,Victory,7,0,6,192,63,873,2,75,-1,,0,6,0,1120421994
gym-crucible-chasm/T01,control-hold,3,Victory,7,0,6,192,58,909,2,83,-1,,0,6,0,3223165904
gym-crucible-chasm/T01,control-hold,4,Victory,7,0,6,184,34,673,3,82,-1,,0,6,0,4257221127
gym-crucible-chasm/T01,control-hold,5,Victory,7,0,6,184,49,706,3,100,-1,,0,6,0,2486447019
gym-crucible-chasm/T01,control-hold,6,Victory,7,0,6,192,45,962,4,87,-1,,0,8,0,3444856722
gym-crucible-chasm/T01,control-hold,7,Victory,7,0,6,192,45,853,3,83,-1,,0,6,1,2563221127
gym-crucible-chasm/T01,control-hold,8,Victory,7,0,6,168,53,681,4,100,-1,,0,8,1,786069628
gym-crucible-chasm/T01,control-hold,9,Victory,7,0,6,192,55,921,3,100,-1,,0,6,0,2463483457
gym-crucible-chasm/T01,control-hold,10,Victory,7,0,6,176,47,871,2,63,-1,,0,4,0,77494295
gym-crucible-chasm/T01,control-hold,11,Victory,7,0,6,192,78,926,4,112,-1,,0,8,1,2087949882
gym-crucible-chasm/T01,control-hold,12,Victory,7,0,6,192,81,892,4,112,-1,,0,8,0,112769545
gym-crucible-chasm/T01,control-hold,13,Victory,7,0,6,168,58,836,4,61,-1,,0,8,1,1074584514
gym-crucible-chasm/T01,control-hold,14,Victory,7,0,6,152,62,581,2,94,-1,,0,6,0,4281528426
gym-crucible-chasm/T01,control-hold,15,Victory,7,0,6,192,59,773,3,112,-1,,0,7,0,1260613281
gym-crucible-chasm/T01,control-hold,16,Victory,7,0,6,192,43,805,3,104,-1,,0,7,0,2953908184
gym-crucible-chasm/T01,control-hold,17,Victory,7,0,6,192,44,988,4,116,-1,,0,8,0,972812170
gym-crucible-chasm/T01,control-hold,18,Victory,7,0,6,184,58,781,3,91,-1,,0,6,0,1797685599
gym-crucible-chasm/T01,control-hold,19,Victory,7,0,6,192,66,1005,4,104,-1,,0,7,1,1302199486
